City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
115,Edd,ER,75.33,clear sky,13.9297,41.6925,
122,Tautira,PF,84.2,moderate rain,-17.7333,-149.15,Pension Oaoa
128,Coahuayana,MX,84.2,broken clouds,18.7333,-103.6833,Hotel Los Arcos
129,Juan Lacaze,UY,80.6,scattered clouds,-34.4342,-57.4381,Posada Agreste
131,Santa Maria,BR,75.2,heavy intensity rain,-29.6842,-53.8069,Hotel Morotin
140,Hithadhoo,MV,81.21,broken clouds,-0.6,73.0833,Scoop Guest House
142,Luanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
156,Port-Gentil,GA,78.8,light rain,-0.7193,8.7815,Fengshui Residence
164,Carnarvon,AU,80.6,clear sky,-24.8667,113.6333,Hospitality Carnarvon
168,Auki,SB,82.36,overcast clouds,-8.7676,160.7034,Auki Motel
177,Balabac,PH,80.42,broken clouds,7.9868,117.0645,Sing and Swing Lodge
178,Port Blair,IN,78.66,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
180,Trincomalee,LK,78.51,overcast clouds,8.5711,81.2335,Welcombe Hotel
182,Katherine,AU,80.6,scattered clouds,-14.4667,132.2667,Pine Tree Motel
183,Omboue,GA,78.39,light rain,-1.5746,9.2618,Hotel Olako
185,Isangel,VU,84.2,few clouds,-19.55,169.2667,Volcano Sea View Tree House
186,Axim,GH,78.24,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
189,Kimbe,PG,82.8,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
192,Dubbo,AU,75.2,overcast clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
202,Mananjary,MG,76.6,light rain,-21.2167,48.3333,Vahiny Lodge
205,Alofi,NU,80.6,moderate rain,-19.0595,-169.9187,Taloa Heights
206,Nueve De Julio,AR,82.0,broken clouds,-35.4444,-60.8831,Grand Hotel Libertad - GHL
207,Bambanglipuro,ID,75.49,moderate rain,-7.95,110.2833,Puri Brata
210,Conde,BR,80.6,few clouds,-7.2597,-34.9075,Pousada Beija Flor
213,Vila Velha,BR,78.8,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
214,Bermejo,AR,86.0,clear sky,-32.8833,-68.8,Hotel Mendoza
216,Beloha,MG,76.1,scattered clouds,-25.1667,45.05,
222,Cidreira,BR,76.87,broken clouds,-30.1811,-50.2056,Hotel Castelo
230,Kahului,US,80.6,few clouds,20.8947,-156.47,Maui Seaside Hotel
241,Dzaoudzi,YT,80.6,heavy intensity rain,-12.7887,45.2699,Le Rocher
243,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
244,Cabo San Lucas,MX,84.2,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
246,Chake Chake,TZ,78.48,clear sky,-5.2459,39.7666,Hotel Archipelago
250,Puerto Escondido,MX,82.4,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
251,Micheweni,TZ,80.33,clear sky,-4.9667,39.8333,
255,Samarai,PG,83.32,overcast clouds,-10.6167,150.6667,Nuli Sapi
256,Caravelas,BR,77.32,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
260,Takoradi,GH,78.84,overcast clouds,4.8845,-1.7554,Raybow International Hotel
261,Galle,LK,75.94,overcast clouds,6.0367,80.217,Amangalla
268,Hervey Bay,AU,80.01,few clouds,-25.2986,152.8535,Shelly Bay Resort
